Visitor,PTS,Home,PTS
DEN,85,LAC,87
BOS,119,IND,100
CHO,109,PHI,98
ORL,106,WAS,112
MIA,115,ATL,91
DAL,85,NYK,108
HOU,128,SAS,124
CLE,111,UTA,91
BRK,138,CHI,112
LAL,116,SAC,125
GSW,99,MIL,118
MIN,108,MEM,116
LAC,89,NOP,113
OKC,130,BRK,109
PHO,108,DEN,140
ORL,116,CHO,109
TOR,87,DET,103
PHO,112,IND,94
BOS,99,PHI,111
GSW,138,CHI,96
ATL,118,MIA,124
CLE,114,SAS,109
DAL,112,MEM,85
HOU,114,SAC,126
TOR,103,MIL,96
PHO,115,WAS,110
NYK,117,ATL,108
NOP,105,BRK,120
PHI,109,MIA,98
CLE,107,OKC,102
CHI,112,BOS,114
LAC,94,SAS,101
LAL,96,DEN,133
ORL,92,DAL,108
PHO,135,DET,108
HOU,118,SAC,112
UTA,125,DEN,102
GSW,99,MIN,119
NOP,92,BOS,104
CHO,97,NYK,87
PHI,98,WAS,117
BRK,107,CLE,114
IND,133,LAC,139
CHI,106,MEM,119
MIL,114,ATL,121
PHO,98,ORL,88
TOR,99,MIA,104
OKC,102,DAL,104
PHO,121,SAS,107
UTA,95,LAL,101
MIN,112,NYK,110
DET,86,GSW,102
ORL,110,PHI,123
BRK,119,WAS,118
MIN,122,ATL,134
CHO,111,BOS,102
PHO,92,MIA,104
CLE,104,CHI,117
MEM,114,MIL,126
TOR,98,DAL,102
OKC,96,SAS,118
HOU,116,UTA,111
LAC,128,DEN,130
DET,133,SAC,131
IND,111,LAL,104
PHO,109,DAL,101
NOP,102,NYK,91
IND,121,GSW,117
OKC,98,CHO,121
LAL,116,ORL,105
LAC,102,PHI,101
MIA,108,ATL,110
PHO,109,BOS,105
CHI,90,MIL,94
TOR,109,WAS,105
BRK,117,SAS,102
MEM,122,DEN,118
DET,101,UTA,111
HOU,103,GSW,105
SAC,127,MIL,133
OKC,87,CLE,94
IND,103,PHO,113
LAC,102,NYK,110
BOS,116,WAS,87
LAL,107,MIA,113
CHI,95,ORL,114
PHO,114,TOR,105
ATL,113,CHO,91
PHI,115,SAS,109
MEM,91,DAL,104
DET,111,DEN,117
BRK,125,MIN,136
UTA,92,GSW,94
NYK,93,CLE,95
IND,113,NOP,117
CHI,111,OKC,110
UTA,109,PHO,115
DEN,110,DET,105
NOP,107,PHI,117
CHO,113,TOR,125
LAC,116,WAS,115
SAC,75,BOS,128
LAL,106,BRK,96
SAS,134,HOU,104
DAL,92,GSW,130
MIN,109,PHO,107
MIL,99,CLE,115
CHO,158,IND,126
LAC,111,ORL,102
SAC,104,ATL,121
NYK,96,MIA,110
DEN,124,BRK,118
TOR,105,CHI,111
MEM,118,SAS,110
DAL,132,PHO,112
PHO,105,UTA,97
LAL,87,PHI,105
MIN,115,GSW,124
DET,103,ORL,119
BOS,92,ATL,108
LAL,114,CHO,117
PHO,125,HOU,110
UTA,109,MEM,119
LAC,114,MIA,121
DEN,116,NOP,105
IND,113,OKC,110
CHI,122,SAS,131
MIN,124,PHO,134
NYK,108,MIL,123
IND,105,DAL,132
BOS,107,NOP,97
SAC,101,PHI,103
WAS,95,MEM,115
TOR,124,MIA,120
BRK,106,GSW,110
LAL,121,ATL,129
