Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Utah Jazz,115,Miami Heat,118,,,,,,,,,UTA,115,MIA,118
Philadelphia 76ers,114,Chicago Bulls,105,,,,,,,,,PHI,114,CHI,105
Boston Celtics,104,Dallas Mavericks,107,,,,,,,,,BOS,104,DAL,107
Atlanta Hawks,117,Phoenix Suns,121,,,,,,,,,ATL,117,PHX,121
Los Angeles Lakers,90,Portland Trail Blazers,105,,,,,,,,,LAL,90,PHX,105
Brooklyn Nets,116,Toronto Raptors,103,,,,,,,,,BKN,116,TOR,103
Cleveland Cavaliers,126,New York Knicks,109,,,,,,,,,CLE,126,NYK,109
Utah Jazz,100,Orlando Magic,107,,,,,,,,,UTA,100,ORL,107
Indiana Pacers,94,Sacramento Kings,91,,,,,,,,,IND,94,SAC,91
Milwaukee Bucks,94,Washington Wizards,101,,,,,,,,,MIL,94,WAS,101
San Antonio Spurs,94,Oklahoma City Thunder,99,,,,,,,,,SAS,94,OKC,99
Houston Rockets,107,Golden State Warriors,120,,,,,,,,,HOU,107,GSW,120
Charlotte Hornets,106,Los Angeles Clippers,120,,,,,,,,,CHA,106,LAC,120
New York Knicks,103,Philadelphia 76ers,96,,,,,,,,,NYK,103,PHI,96
Brooklyn Nets,95,Chicago Bulls,118,,,,,,,,,BKN,95,CHI,118
Minnesota Timberwolves,118,Memphis Grizzlies,125,,,,,,,,,MIN,118,MEM,125
New Orleans Pelicans,92,Dallas Mavericks,108,,,,,,,,,NOP,92,DAL,108
Miami Heat,96,Denver Nuggets,113,,,,,,,,,MIA,96,DEN,113
Atlanta Hawks,113,Golden State Warriors,127,,,,,,,,,ATL,113,GSW,127
Phoenix Suns,109,Sacramento Kings,104,,,,,,,,,PHX,109,SAC,104
Charlotte Hornets,123,Los Angeles Lakers,126,,,,,,,,,CHA,123,LAL,126
Milwaukee Bucks,118,Philadelphia 76ers,109,,,,,,,,,MIL,118,PHI,109
Atlanta Hawks,98,Utah Jazz,110,,,,,,,,,ATL,98,UTA,110
Portland Trail Blazers,109,Los Angeles Clippers,117,,,,,,,,,PHX,109,LAC,117
Washington Wizards,97,Cleveland Cavaliers,94,,,,,,,,,WAS,97,CLE,94
Brooklyn Nets,123,Orlando Magic,90,,,,,,,,,BKN,123,ORL,90
